feature,catboost,mean_importance,max_importance,min_importance,std_importance,vote_count,rank,cumulative_mean
macd_histogram_lag5,0.2418737093579665,0.2418737093579665,0.2418737093579665,0.2418737093579665,,0,78,87.14964432416835
bb_lower,0.23519276102170394,0.23519276102170394,0.23519276102170394,0.23519276102170394,,0,79,87.38483708519006
atr_lag3,0.23124130542143423,0.23124130542143423,0.23124130542143423,0.23124130542143423,,0,80,87.61607839061149
volume_lag1,0.2306540854096029,0.2306540854096029,0.2306540854096029,0.2306540854096029,,0,81,87.84673247602109
volume_lag3,0.22339023604947303,0.22339023604947303,0.22339023604947303,0.22339023604947303,,0,82,88.07012271207056
volume_lag2,0.2157123364969142,0.2157123364969142,0.2157123364969142,0.2157123364969142,,0,83,88.28583504856748
stock_vs_spy_5d_lag5,0.2156427129023363,0.2156427129023363,0.2156427129023363,0.2156427129023363,,0,84,88.50147776146981
ema_slow,0.21435937730933216,0.21435937730933216,0.21435937730933216,0.21435937730933216,,0,85,88.71583713877915
insider_buy_at_52w_low,0.21093701272179075,0.21093701272179075,0.21093701272179075,0.21093701272179075,,0,86,88.92677415150094
stddev_lag5,0.20500409822260496,0.20500409822260496,0.20500409822260496,0.20500409822260496,,0,87,89.13177824972354
ma_long_lag3,0.20284088046715137,0.20284088046715137,0.20284088046715137,0.20284088046715137,,0,88,89.33461913019069
psar_trend,0.20224397578902506,0.20224397578902506,0.20224397578902506,0.20224397578902506,,0,89,89.53686310597972
macd_signal,0.19643439090732692,0.19643439090732692,0.19643439090732692,0.19643439090732692,,0,90,89.73329749688705
bb_width_lag1,0.19080634577049163,0.19080634577049163,0.19080634577049163,0.19080634577049163,,0,91,89.92410384265754
aroon_down,0.19026764419359415,0.19026764419359415,0.19026764419359415,0.19026764419359415,,0,92,90.11437148685114
volume_vs_avg_recent,0.18662048384364446,0.18662048384364446,0.18662048384364446,0.18662048384364446,,0,93,90.30099197069478
near_52w_low,0.18608248844618058,0.18608248844618058,0.18608248844618058,0.18608248844618058,,0,94,90.48707445914096
kama,0.18203743884066856,0.18203743884066856,0.18203743884066856,0.18203743884066856,,0,95,90.66911189798162
macd_signal_lag2,0.18013417449389385,0.18013417449389385,0.18013417449389385,0.18013417449389385,,0,96,90.84924607247552
macd_histogram,0.17997983898788544,0.17997983898788544,0.17997983898788544,0.17997983898788544,,0,97,91.02922591146341
macd_signal_lag3,0.17323097567363985,0.17323097567363985,0.17323097567363985,0.17323097567363985,,0,98,91.20245688713705
bb_upper,0.17141498712813286,0.17141498712813286,0.17141498712813286,0.17141498712813286,,0,99,91.37387187426518
macd_lag5,0.16957687306048336,0.16957687306048336,0.16957687306048336,0.16957687306048336,,0,100,91.54344874732566
volume_lag5,0.1653106309931978,0.1653106309931978,0.1653106309931978,0.1653106309931978,,0,101,91.70875937831886
insider_conviction_strong,0.16286982228266916,0.16286982228266916,0.16286982228266916,0.16286982228266916,,0,102,91.87162920060153
stddev_lag3,0.16122504925152373,0.16122504925152373,0.16122504925152373,0.16122504925152373,,0,103,92.03285424985306
ema_fast,0.15794640120659878,0.15794640120659878,0.15794640120659878,0.15794640120659878,,0,104,92.19080065105966
close,0.15595497532742458,0.15595497532742458,0.15595497532742458,0.15595497532742458,,0,105,92.34675562638708
minus_dm_smooth,0.1515010569275537,0.1515010569275537,0.1515010569275537,0.1515010569275537,,0,106,92.49825668331464
bb_width_lag2,0.15078465055973037,0.15078465055973037,0.15078465055973037,0.15078465055973037,,0,107,92.64904133387437
bb_upper_lag5,0.14818723676893575,0.14818723676893575,0.14818723676893575,0.14818723676893575,,0,108,92.7972285706433
ma_short_lag3,0.1460139465980817,0.1460139465980817,0.1460139465980817,0.1460139465980817,,0,109,92.94324251724139
md,0.14338494346098662,0.14338494346098662,0.14338494346098662,0.14338494346098662,,0,110,93.08662746070237
volume,0.14258869815394537,0.14258869815394537,0.14258869815394537,0.14258869815394537,,0,111,93.22921615885632
rsi_vs_spy_lag3,0.1379215610741699,0.1379215610741699,0.1379215610741699,0.1379215610741699,,0,112,93.36713771993048
bb_width_lag3,0.13503279502666363,0.13503279502666363,0.13503279502666363,0.13503279502666363,,0,113,93.50217051495714
cluster_buying_30d,0.13422175317690108,0.13422175317690108,0.13422175317690108,0.13422175317690108,,0,114,93.63639226813405
ma_short_slope,0.1322916897786754,0.1322916897786754,0.1322916897786754,0.1322916897786754,,0,115,93.76868395791271
stock_vs_spy_5d_lag1,0.13164447748208888,0.13164447748208888,0.13164447748208888,0.13164447748208888,,0,116,93.9003284353948
macd_signal_lag1,0.13066908299904945,0.13066908299904945,0.13066908299904945,0.13066908299904945,,0,117,94.03099751839385
bb_middle,0.13001899780986084,0.13001899780986084,0.13001899780986084,0.13001899780986084,,0,118,94.1610165162037
ema_slow_lag1,0.12871006016837913,0.12871006016837913,0.12871006016837913,0.12871006016837913,,0,119,94.28972657637208
macd_histogram_lag3,0.12855830100334553,0.12855830100334553,0.12855830100334553,0.12855830100334553,,0,120,94.41828487737543
ema_slow_lag3,0.1280999746576596,0.1280999746576596,0.1280999746576596,0.1280999746576596,,0,121,94.54638485203309
macd_lag1,0.1278855346991137,0.1278855346991137,0.1278855346991137,0.1278855346991137,,0,122,94.6742703867322
kc_middle,0.1219123448043151,0.1219123448043151,0.1219123448043151,0.1219123448043151,,0,123,94.79618273153652
ma_long,0.12146440011089456,0.12146440011089456,0.12146440011089456,0.12146440011089456,,0,124,94.91764713164741
linearreg_slope,0.12146168296418793,0.12146168296418793,0.12146168296418793,0.12146168296418793,,0,125,95.0391088146116
stoch_d,0.1211897699822739,0.1211897699822739,0.1211897699822739,0.1211897699822739,,0,126,95.16029858459387
ema_fast_lag5,0.11913939951890531,0.11913939951890531,0.11913939951890531,0.11913939951890531,,0,127,95.27943798411277
rsi_lag3,0.1147173420927728,0.1147173420927728,0.1147173420927728,0.1147173420927728,,0,128,95.39415532620555
rsi_vs_spy_lag1,0.11341780409771861,0.11341780409771861,0.11341780409771861,0.11341780409771861,,0,129,95.50757313030327
macd_histogram_lag1,0.11113762371035285,0.11113762371035285,0.11113762371035285,0.11113762371035285,,0,130,95.61871075401362
cci,0.10983984690464414,0.10983984690464414,0.10983984690464414,0.10983984690464414,,0,131,95.72855060091827
bb_upper_lag1,0.10956051258195368,0.10956051258195368,0.10956051258195368,0.10956051258195368,,0,132,95.83811111350022
rsi_vs_spy_lag2,0.10694015249083794,0.10694015249083794,0.10694015249083794,0.10694015249083794,,0,133,95.94505126599105
