iter	Passed	Remaining
673	6356	3074
674	6365	3064
675	6375	3055
676	6383	3045
677	6393	3036
678	6402	3026
679	6412	3017
680	6422	3008
681	6432	2999
682	6441	2989
683	6450	2980
684	6460	2971
685	6470	2961
686	6479	2951
687	6488	2942
688	6497	2932
689	6506	2923
690	6516	2913
691	6525	2904
692	6534	2894
693	6544	2885
694	6552	2875
695	6562	2866
696	6571	2856
697	6580	2847
698	6590	2838
699	6600	2828
700	6610	2819
701	6620	2810
702	6630	2801
703	6640	2791
704	6650	2782
705	6661	2773
706	6671	2764
707	6680	2755
708	6689	2745
709	6699	2736
710	6709	2727
711	6718	2717
712	6728	2708
713	6737	2698
714	6747	2689
715	6756	2679
716	6765	2670
717	6774	2660
718	6782	2650
719	6791	2641
720	6800	2631
721	6810	2622
722	6819	2612
723	6829	2603
724	6838	2593
725	6847	2584
726	6856	2574
727	6865	2565
728	6874	2555
729	6884	2546
730	6893	2536
731	6902	2527
732	6911	2517
733	6920	2508
734	6929	2498
735	6938	2488
736	6948	2479
737	6958	2470
738	6967	2460
739	6976	2451
740	6984	2441
741	6994	2431
742	7003	2422
743	7012	2413
744	7022	2403
745	7031	2394
746	7040	2384
747	7050	2375
748	7059	2365
749	7069	2356
750	7078	2346
751	7088	2337
752	7097	2328
753	7105	2318
754	7115	2309
755	7124	2299
756	7134	2290
757	7143	2280
758	7152	2271
759	7162	2261
760	7172	2252
761	7181	2243
762	7191	2233
763	7201	2224
764	7210	2214
765	7219	2205
766	7228	2195
767	7237	2186
768	7248	2177
769	7257	2167
770	7266	2158
771	7275	2148
772	7284	2139
773	7293	2129
774	7302	2120
775	7311	2110
776	7320	2101
777	7331	2091
778	7340	2082
779	7349	2072
780	7359	2063
781	7368	2054
782	7376	2044
783	7386	2034
784	7396	2025
785	7405	2016
786	7415	2007
787	7424	1997
788	7433	1988
789	7443	1978
790	7453	1969
791	7461	1959
792	7471	1950
793	7480	1940
794	7488	1931
795	7498	1921
796	7507	1912
797	7517	1902
798	7527	1893
799	7537	1884
800	7547	1875
801	7557	1865
802	7566	1856
803	7576	1846
804	7585	1837
805	7595	1828
806	7604	1818
807	7612	1808
808	7621	1799
809	7631	1790
810	7641	1780
811	7650	1771
812	7659	1761
813	7668	1752
814	7678	1742
815	7688	1733
816	7696	1724
817	7706	1714
818	7715	1705
819	7723	1695
820	7732	1685
821	7740	1676
822	7749	1666
823	7759	1657
824	7768	1647
825	7777	1638
826	7786	1628
827	7795	1619
828	7804	1609
829	7813	1600
830	7823	1591
831	7833	1581
832	7841	1572
833	7850	1562
834	7858	1552
835	7867	1543
836	7876	1533
837	7885	1524
838	7895	1515
839	7904	1505
840	7914	1496
841	7923	1486
842	7932	1477
843	7941	1467
844	7950	1458
845	7959	1448
846	7968	1439
847	7978	1430
848	7986	1420
849	7995	1410
850	8004	1401
851	8013	1392
852	8023	1382
853	8033	1373
854	8041	1363
855	8050	1354
856	8059	1344
857	8069	1335
858	8079	1326
859	8088	1316
860	8099	1307
861	8108	1298
862	8117	1288
863	8127	1279
864	8137	1270
865	8147	1260
866	8157	1251
867	8165	1241
868	8175	1232
869	8185	1223
870	8194	1213
871	8203	1204
872	8212	1194
873	8222	1185
874	8230	1175
875	8240	1166
876	8251	1157
877	8260	1147
878	8269	1138
879	8279	1129
880	8289	1119
881	8298	1110
882	8307	1100
883	8317	1091
884	8327	1082
885	8337	1072
886	8346	1063
887	8355	1053
888	8365	1044
889	8374	1035
890	8384	1025
891	8392	1016
892	8402	1006
893	8411	997
894	8420	987
895	8430	978
896	8438	969
897	8449	959
898	8458	950
899	8468	940
900	8478	931
901	8487	922
902	8498	912
903	8507	903
904	8516	894
905	8525	884
906	8534	875
907	8543	865
908	8552	856
909	8561	846
910	8571	837
911	8581	828
912	8590	818
913	8600	809
914	8609	799
915	8619	790
916	8628	780
917	8638	771
918	8647	762
919	8656	752
920	8666	743
921	8676	733
922	8685	724
923	8695	715
924	8703	705
925	8713	696
926	8722	686
927	8732	677
928	8741	668
929	8750	658
930	8760	649
931	8769	639
932	8779	630
933	8787	620
934	8797	611
935	8805	602
936	8814	592
937	8823	583
938	8833	573
939	8844	564
940	8854	555
941	8864	545
942	8874	536
943	8884	527
944	8893	517
945	8903	508
946	8912	498
947	8922	489
948	8932	480
949	8941	470
950	8951	461
951	8960	451
952	8970	442
953	8980	433
954	8990	423
955	8999	414
956	9009	404
957	9018	395
958	9028	385
959	9038	376
960	9047	367
961	9056	357
962	9065	348
963	9074	338
964	9084	329
965	9093	320
966	9102	310
967	9111	301
968	9121	291
969	9131	282
970	9141	273
971	9151	263
972	9161	254
973	9171	244
974	9180	235
975	9190	225
976	9199	216
977	9209	207
978	9218	197
979	9227	188
980	9237	178
981	9247	169
982	9257	160
983	9265	150
984	9275	141
985	9285	131
986	9295	122
987	9304	113
988	9313	103
989	9322	94
990	9331	84
991	9340	75
992	9350	65
993	9359	56
994	9369	47
995	9379	37
996	9389	28
997	9399	18
998	9409	9
999	9419	0
